Random Seed: 1531399603
############ QEngine -> OpenCL ############
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60
OpenCL device #1: Tesla M60
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
20, 0.03484,0.133357,0.018,0.019,0.019,0.02,1.357
21, 0.03442,0.135864,0.019,0.02,0.02,0.02,1.385
22, 0.03401,0.136854,0.019,0.019,0.02,0.02,1.395
23, 0.0343,0.136744,0.019,0.019,0.019,0.02,1.393
24, 0.03403,0.133694,0.019,0.019,0.019,0.02,1.362

>>> 'test_x_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.04436,0.00373235,0.043,0.043,0.044,0.044,0.069
4, 0.04425,0.00387395,0.042,0.043,0.044,0.044,0.074
5, 0.04402,0.0026419,0.043,0.043,0.044,0.044,0.068
6, 0.04409,0.00273896,0.043,0.043,0.044,0.044,0.067
7, 0.0442,0.00291204,0.043,0.043,0.044,0.044,0.066
8, 0.044,0.00301993,0.042,0.043,0.043,0.044,0.068
9, 0.04432,0.00286314,0.043,0.043,0.044,0.044,0.067
10, 0.04412,0.00320712,0.042,0.043,0.044,0.044,0.069
11, 0.04408,0.00361851,0.043,0.043,0.044,0.044,0.07
12, 0.04443,0.00276498,0.043,0.044,0.044,0.044,0.069
13, 0.04443,0.00313131,0.042,0.043,0.044,0.044,0.068
14, 0.04413,0.00312939,0.042,0.043,0.044,0.044,0.067
15, 0.04437,0.00267453,0.043,0.044,0.044,0.044,0.069
16, 0.04467,0.00345848,0.043,0.044,0.044,0.045,0.068
17, 0.04462,0.00273415,0.043,0.044,0.044,0.045,0.068
