Random Seed: 1531369427
############ QEngine -> OpenCL ############
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60
OpenCL device #1: Tesla M60
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
11, 971.806,106.85,652.063,917.073,1001.29,1009.63,1165.64
12, 1488.81,142.978,1271.89,1326.83,1478.12,1667.71,1709.67
13, 2095.1,41.9793,2014.2,2063,2101.01,2119.55,2209.58
14, 3302.71,159.19,3088.68,3131.03,3272.05,3414.9,4192.14
15, 5043.22,68.9888,4866.4,5002.27,5045.2,5088.13,5200.16
16, 11473.7,296.691,10831.7,11400.3,11587,11674.2,11810
17, 22841.9,3362.39,18925.2,21048.1,21709.1,23172.2,31911.3

Passed all 3 test cases with 1500 assertions.

