Random Seed: 1531837821
############ QEngine -> OpenCL ############
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60
OpenCL device #1: Tesla M60
>>> 'test_cnot_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.10787,0.740259,0.028,0.029,0.03,0.031,7.472
4, 0.06504,0.304955,0.028,0.029,0.03,0.03,3.093
5, 0.06106,0.303923,0.027,0.028,0.029,0.03,3.084
6, 0.03164,0.0202897,0.027,0.028,0.029,0.03,0.226
7, 0.03481,0.0253778,0.027,0.028,0.028,0.029,0.224
8, 0.03231,0.0223762,0.027,0.028,0.028,0.029,0.221
9, 0.03902,0.0592468,0.027,0.028,0.029,0.03,0.611
10, 0.03533,0.0571317,0.027,0.028,0.029,0.03,0.603
11, 0.03572,0.0720283,0.027,0.027,0.028,0.028,0.751
12, 0.03519,0.0572273,0.027,0.028,0.029,0.029,0.602
13, 0.03654,0.0596403,0.027,0.028,0.028,0.029,0.62
14, 0.03549,0.0591536,0.027,0.028,0.028,0.029,0.62
15, 0.03641,0.0600182,0.026,0.027,0.028,0.029,0.594
16, 0.03356,0.0573413,0.022,0.027,0.028,0.028,0.604
17, 0.03628,0.0605006,0.027,0.028,0.028,0.029,0.61
18, 0.04037,0.0639144,0.027,0.027,0.028,0.028,0.59
19, 0.06378,0.0946854,0.026,0.032,0.037,0.039,0.597
20, 0.15694,0.258644,0.029,0.038,0.046,0.049,1.115
21, 0.36931,0.622652,0.031,0.032,0.041,0.349,2.221
22, 1.08164,1.27731,0.031,0.046,0.271,2.065,4.089
23, 3.6696,1.97055,0.048,1.977,3.637,5.153,7.685
24, 9.91206,2.18867,4.041,8.427,9.772,10.899,22.131
25, 24.1006,3.1379,18.882,22.547,23.762,25.248,47.609
26, 52.0433,4.79033,45.814,49.831,51.552,53.136,92.334
